time,open,high,low,close,tick_volume,spread,real_volume,Change(Pips),Change(%)
2024-01-01 00:00:00,42250.77,42496.3,42233.55,42414.56,5367,1052,0,,
2024-01-01 01:00:00,42416.45,42723.41,42366.39,42560.94,5259,1022,0,14638.000000000466,0.3451173370653926
2024-01-01 02:00:00,42564.35,42583.96,42426.63,42523.71,4662,1064,0,-3723.00000000032,-0.08747457175524165
2024-01-01 03:00:00,42523.92,42539.06,42189.52,42284.94,5432,1070,0,-23876.99999999968,-0.5614985145933837
2024-01-01 04:00:00,42287.17,42350.14,42164.7,42347.64,5029,1573,0,6269.999999999709,0.1482797421493265
2024-01-01 05:00:00,42349.13,42356.14,42149.75,42196.55,4599,1848,0,-15108.99999999965,-0.3567849353588448
2024-01-01 06:00:00,42196.62,42390.18,42159.09,42336.52,4589,1800,0,13996.999999999389,0.33170958289243657
2024-01-01 07:00:00,42337.89,42441.06,42328.33,42428.75,4171,1232,0,9223.00000000032,0.21784974296423787
2024-01-01 08:00:00,42429.88,42501.27,42384.73,42488.46,4130,991,0,5970.999999999913,0.14073004743246909
2024-01-01 09:00:00,42489.54,42642.07,42473.63,42589.4,4577,880,0,10094.000000000233,0.23757038970111388
2024-01-01 10:00:00,42586.26,42704.06,42573.9,42624.11,4502,837,0,3470.9999999999127,0.08149915237125605
2024-01-01 11:00:00,42623.95,42721.29,42540.02,42615.95,4560,1097,0,-816.0000000003492,-0.01914409473887657
2024-01-01 12:00:00,42615.96,42737.65,42560.97,42608.98,4672,1075,0,-696.9999999993888,-0.016355378678623023
2024-01-01 13:00:00,42607.87,42706.74,42554.94,42677.27,4307,1152,0,6828.99999999936,0.16027137941343472
2024-01-01 14:00:00,42674.39,42675.96,42520.62,42580.12,4758,1106,0,-9714.999999999418,-0.22763874071606294
2024-01-01 15:00:00,42577.93,42818.05,42543.67,42738.51,4992,1004,0,15838.999999999942,0.37198110291845055
2024-01-01 16:00:00,42740.27,42819.74,42621.47,42692.51,5410,1040,0,-4600.0,-0.10763126744475215
2024-01-01 17:00:00,42693.76,42796.36,42661.9,42786.86,4617,962,0,9434.999999999854,0.22099895274370063
2024-01-01 18:00:00,42788.08,43200.46,42788.08,43092.47,6557,939,0,30561.00000000006,0.7142613409817811
2024-01-01 19:00:00,43094.85,43558.81,43066.42,43500.79,6170,994,0,40831.99999999997,0.9475437355992877
2024-01-01 20:00:00,43500.53,43864.26,43500.53,43700.13,7280,655,0,19933.99999999965,0.45824455142078335
2024-01-01 21:00:00,43701.48,43823.19,43458.28,43616.8,5887,1061,0,-8332.999999999447,-0.19068593159790037
2024-01-01 22:00:00,43616.61,43673.51,43360.31,43514.72,4947,919,0,-10208.000000000175,-0.23403826048679077
2024-01-01 23:00:00,43517.95,44258.06,43517.95,44247.36,7283,1063,0,73263.99999999994,1.6836601499446546
2024-01-02 00:00:00,44242.01,45247.18,44202.8,45091.34,10876,490,0,84397.99999999959,1.907413233241484
2024-01-02 01:00:00,45093.69,45430.69,44726.59,44895.36,8765,537,0,-19597.999999999593,-0.4346289110059631
2024-01-02 02:00:00,44892.48,45490.12,44892.48,45490.12,6665,1082,0,59476.000000000204,1.3247694193787574
2024-01-02 03:00:00,45484.17,45591.07,45176.17,45486.9,7477,1208,0,-322.0000000001164,-0.00707846011397395
2024-01-02 04:00:00,45487.75,45567.1,45204.76,45217.67,6542,1219,0,-26923.00000000032,-0.5918846964730551
2024-01-02 05:00:00,45215.47,45379.44,45147.95,45202.68,5543,1158,0,-1498.9999999997963,-0.03315075721503913
2024-01-02 06:00:00,45204.35,45366.88,45154.79,45213.17,5273,409,0,1048.9999999997963,0.02320658863588232
2024-01-02 07:00:00,45207.41,45645.52,45207.41,45500.76,7364,1149,0,28759.00000000038,0.6360757274926909
2024-01-02 08:00:00,45498.07,45878.85,45383.15,45817.61,8900,424,0,31684.999999999854,0.6963619948326061
2024-01-02 09:00:00,45818.72,45917.52,45657.44,45707.72,6817,1124,0,-10988.999999999942,-0.23984227898399268
2024-01-02 10:00:00,45705.74,45760.68,45471.0,45621.5,6802,902,0,-8622.000000000116,-0.18863334246381758
